Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,,,,,Origins,,,,,,
MK Ultra,00041,,X,,X,,,,,5,,,,,,5,4,,4,3,,,4,3,5,,,,,,,,,4,4,0.8,2.3,0.8,,0.8,1.9,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,"OG Kush,
G13",,,,,,
G13 Haze,00042,,,X,X,,,,,5,4,,3,,,5,,,4,,,,5,3,4,,,,2,,,,,,2,,2.6,0.3,0.3,1.1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,"G13,
Haze",,,,,,
G13,00043,,X,,X,,,,,5,3,,,,,5,3,,4,,,,5,3,4,,,,,,,,,1,3,,2.1,0.3,0.3,0.5,1.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
OG Kush,00044,,,X,X,,,,,5,3,,,,,5,,,4,3,,,5,3,4,,,,,,,,,2,3,,2.1,0.8,0.5,0.8,1.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,"Chemdawg,
Hindu Kush",,,,,,
Hindu Kush,00045,,X,,X,,,,,4,,,,,,6,5,,4,3,,,5,3,3,,,,,,,,,2,4,0.5,2.3,1,,0.2,1.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,
Ace Killer OG,00046,,X,,X,,,,,3,,,,,,5,4,,2,4,,,2,,4,,,2,,,,,,3,5,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"White Fire OG,
King's Kush,
Kosher Kush",,,,,,
White Fire OG,00047,,,X,X,,,,,5,5,,4,,,4,,,5,,,,5,4,4,3,,,,2,,,,,,0.2,1.9,0.3,0.3,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,"The White,
Fire OG",,,,,,
King's Kush,00048,,X,,X,,,,,5,,,,,,5,4,,5,4,,,5,3,5,,,,,,,,,5,3,,2.5,0.5,0.3,0.4,1.9,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,OG Kush,,,,,,
Kosher Kush,00049,,X,,X,,,,,4,3,,,,,5,5,,4,,,,5,4,5,,,,,,,,,2,5,,2.4,0.4,0.4,0.9,1.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
The White,00050,,,X,X,,,,,5,4,,,,4,5,,,5,,,,5,3,4,,,,,2,,,,,3,0.2,1.7,0.4,,0.8,1.1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
