Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Sapphire Scout,01640,,,X,X,,,,,3,,,,,1,3,,,3,2,,,3,,3,,2,,,,3,,,,3,,3.9,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Girl Scout Cookies,
True OG"
Sapphire Star,01641,,,X,X,,,,,4,,,4,3,3,,,,4,,,,1,1,1,,1,,,,,,1,,,,,,,,0.5,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Blue Hawaiian,
God Bud"
Sasquatch Sap,01642,,,X,X,,,,,2,2,1,,2,,4,,,,,,,2,,2,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chem's Sister,
Chocolate Diesel"
Satellite OG,01643,,X,,X,,,,,3,1,,,,,5,,,1,,3,,1,1,3,1,,,,,,,,,5,,4,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,"OG Kush,
SFV OG"
Saturn OG,01644,,,X,X,,,,,5,,,,,,5,,,5,4,,4,5,4,4,,,,,,,,,4,4,,1,,,,0.8,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Savant's Grail,01645,,,X,X,,,,,2,,2,,,2,,,,2,,,2,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schrom,01646,X,,,X,,,,,4,5,,4,3,,5,,,,,,,5,5,,,,5,5,,,,,4,,,4,,0.1,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Scooby Snacks,01647,,,X,X,,,,,5,3,,,,,5,2,,3,,,,4,3,2,,,,,,,,,3,4,,2.2,,,,0.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,"Platinum Girl Scout Cookies,
Face Off OG"
Scott's OG,01648,,,X,X,,,,,5,3,,,,,5,,,4,3,,,5,3,4,,,,,,,,,3,3,,3,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,"Triangle Kush,
Rare Dankness #1"
Seattle Blue,01649,,X,,X,,,,,,3,,2,4,4,,,,4,,,,2,,3,,,1,,,,1,,,1,,1,0.4,,0.4,0.9,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Seattle Cough,01650,X,,,X,,,,,5,5,,,4,4,,,,,,4,,,5,3,3,3,,,,3,,,,,,2,0.9,,,1.2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,"Haze,
Northern Lights #5"
Secret Garden OG,01651,,X,,X,,,,,1,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lavender,
Rug Burn OG"
Secret Recipe,01652,,,X,X,,,,,5,4,,,4,,4,,,4,,,,3,1,2,,,,,3,,1,,,,1,1,,,,0.6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,"Chemdawg,
Abusive OG,
Sour Diesel"
Sensi Skunk,01653,,X,,X,,,,,3,,,,,,5,3,,,,,,3,2,2,,4,,,,,,,2,,,1.2,,0.6,,,,,,,,,,,,,1,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skunk No. 1
Serious 6,01654,X,,,X,,,,,5,,3,5,5,,,,4,,,,,5,4,,1,,,1,,,,,1,,1,0.6,,,,0.6,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,African
Sexxpot,01655,,X,,X,,,,,1,,,,,,5,3,1,3,,,,4,,4,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,,,,,,,Mr. Nice
Shaman,01656,X,,,X,,,,,,5,,4,,2,4,,,,,,,5,2,,4,1,,,1,,,,,,,1,0.4,0.3,1,1,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Shangri-La,01657,,,X,X,,,,,4,5,,1,,,1,,,5,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,2,,,,,,,,,,9 Pound Hammer
Shark Attack,01658,,X,,X,,,,,4,,,,,3,5,,,4,3,,,4,,4,,3,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,"Super Skunk,
White Widow"
Shark Bite,01659,,,X,X,,,,,,5,,,,,5,4,,1,,4,,4,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,3,,,,,
Shark Shock,01660,,X,,X,,,,,4,3,,,,3,5,,,4,,,,5,3,5,,,,,3,3,,,,,0.3,1.1,0.3,,0.5,0.9,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,"White Widow,
Skunk No. 1"
Sharksbreath,01661,,,X,X,,,,,,4,,4,,5,4,,,5,,,,5,4,4,3,,,,,3,,,,,,3.5,0.9,1,1,1.1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,
Shiatsu Kush,01662,,,X,X,,,,,3,3,,,,2,5,4,,,,,,5,5,4,,,2,,,,,,,4,0.2,0.6,0.1,,0.1,3.7,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,
Shipwreck,01663,X,,,X,,,,,5,4,,5,,3,5,,,,,,,5,4,5,4,2,,,,,,,,,,1,0.2,0.2,0.4,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,
Shiskaquine,01664,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shishkaberry,
Harlequin"
Shoreline,01665,,,X,X,,,,,4,4,,,4,,4,,,5,,,,5,3,3,2,,,,2,,,,,,,4,2,0.1,2,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,,,,
Sierra Mist,01666,,,X,X,,,,,5,5,,5,,,,,4,4,,,,3,1,2,,,3,3,,,,,,,,3.1,0.3,,0.3,0.3,,,,,,,1,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Back,01667,,,X,X,,,,,1,1,,,,,1,,,1,1,,,1,1,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,
Silver Bubble,01668,,,X,X,,,,,4,5,,,,,5,,,5,,,,3,4,1,,,,3,,,,,1,,,0.8,,,,0.4,,,,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Haze,
Northern Lights,
Skunk No. 1"
Silver Cindy,01669,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebel God Smoke
Silver Kush,01670,X,,,X,,,,,4,4,,,4,,5,,,,,,3,4,4,2,4,,,3,,,,,,,,2.1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Silver Bubble,
OG #18"
Silver Nina,01671,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Surfer,01672,,,X,X,,,,,5,4,,4,4,,,,,4,,,,5,5,4,3,,3,,,,,,,,0.2,0.4,0.5,,0.3,0.3,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,
Silver Train,01673,X,,,X,,,,,3,3,2,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Super Silver Haze,
Trainwreck"
Silverback Gorilla,01674,,X,,X,,,,,3,2,,,,,5,4,,3,,,,4,3,4,,,3,,,,,,,5,,0.8,2,,0.2,0.6,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,
Silverfalls Kush,01675,,,X,X,,,,,1,,,,,,4,,,4,1,,1,3,,3,,,,,,2,3,,,2,,1.4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,
Silverhawks OG,01676,X,,,X,,,,,,,,,,,2,,,2,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Super Silver Haze,
White Fire Alien OG"
Sin Valley OG,01677,,,X,X,,,,,4,,,,3,,5,,,5,3,,,5,4,5,4,,,,,,,,4,,,0.5,,,,0.5,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"SFV OG,
Blue Power"
Sinai,01678,X,,,X,,,,,,3,,,,,3,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SinMint Cookies,01679,,,X,X,,,,,4,5,,,,,5,,,4,,3,,4,3,3,2,,,,2,,,,,,,1,0.3,,0.4,2,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,"Girl Scout Cookies,
Blue Power"
Six Shooter,01680,,,X,X,,,,,1,,,,1,1,1,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skins Skunk,01681,,,X,X,,,,,2,,,,,,1,,,2,1,,1,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haze,
Northern Lights,
Super Skunk,
Trainwreck"
Skunk 47,01682,,X,,X,,,,,5,3,2,,,2,4,,,,,,,5,3,3,,,,,3,3,,,,,,2.6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,"Skunk No. 1,
AK-47"
Skunk Dawg,01683,X,,,X,,,,,4,,,5,,5,4,,,5,,,,5,2,4,,4,,,,,,,,,,1,1,,,2.2,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"Super Skunk,
Chemdawg"
Skunkberry,01684,,,X,X,,,,,3,3,,,,,5,,,4,,,,5,3,,,,,,,,,,,1,,1.3,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,Blueberry
Skunky Diesel,01685,,,X,X,,,,,5,4,,,4,4,4,,,,,,,5,4,1,,2,,,,,,,1,,,0.9,2.8,,,0.2,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"Skunk No. 1,
Haze"
Skydog,01686,,X,,X,,,,,,3,,,,4,5,3,,4,,,,3,4,5,,,,,,4,,,,3,,4,,,,3.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,
Skywalker Alien,01687,,,X,X,,,,,1,,,,,,1,,,1,,1,,,1,,,,1,,1,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,
Skywalker OG,01688,,,X,X,,,,,4,3,,,,,5,3,,4,,,,5,4,5,,,,,,,,,3,3,0.3,1,0.3,,0.2,0.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"Skywalker,
OG Kush"
Slazerbeam,01689,X,,,X,,,,,1,,,1,,,2,,,1,,,,2,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,Super Lemon Haze
SleeSkunk,01690,X,,,X,,,,,,,,,1,1,,,,2,,,,1,,1,,1,1,,1,,,,,,,1,,,,1,,,,,,,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SleeStack,
Skunk No. 1"
SleeStack,01691,X,,,X,,,,,3,3,,,3,,,,3,4,,,,,4,,,3,,,4,,,,2,1,3.9,4,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,"Schrom,
Martian Mean Green"
Slimer OG,01692,,,X,X,,,,,2,2,,,1,,2,,,1,,,,2,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,"Ghost OG,
White Fire Alien OG"
Smelliot,01693,,,X,X,,,,,3,,,,2,,2,,,2,2,,,2,2,,2,,2,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,
Smooth Operator,01694,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purple Trainwreck,
Rug Burn OG"
Snoop Dogg OG,01695,,X,,X,,,,,5,4,,,4,,5,,,4,,,,5,3,4,3,,,,3,,,,,,,2.9,,,0.7,0.6,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,
Snoop's Dream,01696,,,X,X,,,,,5,3,,,,,5,3,,3,,,,4,4,3,1,,,,,,,,,3,0.3,1,0.3,,0.1,0.6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,"Blue Dream,
Master Kush"
Snow Bud,01697,,,X,X,,,,,3,,,,3,,5,3,,,,,3,5,3,,,4,,,,,3,,,3,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,"Afghani,
African"
Snow Diesel,01698,,,X,X,,,,,1,2,,,,,,,,1,2,,,,2,,,,,,1,,,,2,,,1.5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,"East Coast Sour Diesel,
Snow Lotus"
Snow Leopard,01699,,X,,X,,,,,3,3,,,,2,3,,,5,,,,5,2,5,3,,,,,2,,,,,,1,,,,0.5,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,Snow Lotus
Snow Monster,01700,,X,,X,,,,,3,4,,,,,4,,,4,,,3,4,2,4,,3,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,3,,,,,,,,,,"The White,
Starfighter"
Snow Mountain,01701,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Snowcap,
Pure Kush"
Snow Ryder,01702,,X,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow White,01703,,,X,X,,,,,4,4,,,,,5,,,5,,,4,5,4,3,,,,2,,,,,3,,0.1,2.6,,0.2,0.2,2.1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,White Widow
Snowcap,01704,,,X,X,,,,,5,4,,4,,,4,,,4,,,,5,4,4,,3,,,,2,,,,,0.9,2.4,1,,1.1,0.8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,Haze
SnowLAnd,01705,,,X,X,,,,,3,3,,,,,3,,,5,3,,,5,5,4,,,,,,,,,4,4,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Snowcap,
LA Confidential"
Somango,01706,,X,,X,,,,,4,2,,,,,5,2,,,2,,,4,,3,,,2,,,2,,,,4,,1,,,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,3,,,,,"Super Skunk,
Jack Herer"
Sonoma Coma,01707,X,,,X,,,,,5,,,3,3,,5,,,5,,,,,5,4,2,,,,3,2,,,,,,1.3,0.3,,0.6,1,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Soul Assassin OG,01708,,,X,X,,,,,4,,,,,3,5,2,,5,,,,5,4,5,4,,,,,,,,,3,,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,
Soul Shine,01709,,,X,X,,,,,,5,,,5,4,4,,,5,,,,1,,1,,,5,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Alien,01710,,,X,X,,,,,5,,,3,,,5,,,4,,3,,5,4,2,,,,,4,,,,3,,,0.6,,0.5,2,2.1,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"Sour Diesel,
Alien Kush"
Sour Amnesia,01711,X,,,X,,,,,5,5,,3,,3,,,,3,,,,4,5,4,4,,,2,,,,,,,,1,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Sour Diesel,
Amnesia"
Sour Ape,01712,,X,,X,,,,,5,,,4,2,,,,,2,,,4,2,4,3,,,,,,,,,,,,4,,,,1.7,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Sour Diesel,
Grape Ape"
Sour Apple,01713,,,X,X,,,,,4,3,,,,,5,2,,4,,,,5,3,1,,,,,,,,,1,3,,2.2,0.3,0.4,0.4,1,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Sour Diesel,
Cinderella 99"
Sour Candy,01714,,,X,X,,,,,3,5,,,3,,5,,,5,,,,5,3,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Sour Diesel,
Bubble Gum"
Sour Cheese,01715,,,X,X,,,,,5,4,,,4,,4,,,4,,,,5,3,,3,,,3,3,,,,,,,1.1,0.5,0.1,0.3,0.4,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Sour Chocolate,01716,X,,,X,,,,,3,5,,3,3,,,,,,,4,,4,3,,4,,,3,4,,,,,,,0.9,,0.9,,1.2,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Sour Chunk,01717,,,X,X,,,,,2,,2,,,,5,,,4,3,,,3,,3,,3,,,,,3,,,3,0.3,0.3,,,0.3,2.8,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Deep Chunk,
East Coast Sour Diesel"
Sour Cookies,01718,,,X,X,,,,,4,,,,4,,5,,4,,,,,5,4,4,4,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,"Girl Scout Cookies,
Sour Diesel"
Sour Cream,01719,,,X,X,,,,,5,4,,,,3,4,,,3,,,,,5,3,,3,,,,,3,,,3,0.1,1.4,0.2,,0.2,1.4,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Sour Diesel,
G13 Haze"
Sour Dream,01720,,,X,X,,,,,5,4,,,,,5,,,5,4,,,3,3,,2,4,,4,,,,,,,0.3,1.3,,0.5,0.6,0.7,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Sour Diesel,
Blue Dream"
Sour Dubble,01721,,,X,X,,,,,4,,2,2,,4,,,,2,,,,5,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Sour Diesel,
Sour Bubble"
Sour Flower,01722,X,,,X,,,,,5,5,,,,1,1,,,,4,,,,1,1,,5,,,1,,,,,1,,0.7,,,0.3,0.4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,Super Silver Haze
Sour Grape,01723,,,X,X,,,,,5,3,,,,,5,,,4,3,,,5,4,5,,,,,4,,,,,4,0.1,2.6,0.1,0.1,,1,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Sour Diesel,
Granddaddy Purple"
Sour Headband,01724,,,X,X,,,,,,5,4,,4,,4,,,4,,,,5,4,4,,4,,,,4,,,,,2.5,2.5,,,,,,,,,,,,,3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sour Diesel,
Headband"
Sour Jack,01725,X,,,X,,,,,5,,,5,4,,4,,,4,,,,4,5,4,2,3,,,,,,,,,1.6,2,,,0.1,0.2,,,,,,,,,,,2,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sour Diesel,
Jack Herer"
Sour Jilly,01726,,,X,X,,,,,4,4,,,,,4,,,5,,,5,4,3,3,,4,,,,,,,3,,,,,1.2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,
Sour Joker,01727,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amnesia Haze,
East Coast Sour Diesel"
Sour Lemon OG,01728,,,X,X,,,,,5,5,,,5,,4,,,4,,,,3,5,3,,5,,,3,,,,,,,0.4,0.6,,,0.3,,,,,,,,,,,2,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California Sour,
Lemon OG Kush"
Sour Maui,01729,X,,,X,,,,,5,4,,4,,,,,4,5,,,,5,5,4,3,,,,,,,,5,,,0.4,,,,0.4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,"Sour Diesel,
Maui Wowie"
Sour OG,01730,,,X,X,,,,,5,4,,3,,,4,,,3,,,,5,4,4,3,3,,,,,,,,,,1,0.3,0.5,0.4,1,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Sour Diesel,
OG Kush"
Sour Pebbles,01731,X,,,X,,,,,5,4,,4,,,,,4,4,,,,3,4,4,2,2,,,,,,,,,,0.5,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Sour Diesel,
Fruity Pebbles"
Sour Poison,01732,X,,,X,,,,,3,3,,,1,,3,,,3,,,,,1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Sour Diesel,
Durban Poison"
Sour Power,01733,,,X,X,,,,,5,5,,,5,,5,,5,,,,,5,5,,2,,,,1,,,,5,,,1.1,,0.9,0.9,0.5,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"StarBud,
East Coast Sour Diesel"
Sour Sunset,01734,,,X,X,,,,,4,4,,4,,,5,,,5,,,,5,5,4,3,4,,,,,,,,,,2.6,,,,2.6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,Sour Diesel
Sour Tsunami,01735,,,X,X,,,,,3,3,,,,,5,2,,,,1,,5,2,5,,2,,,,2,,,,,0.7,1.2,0.1,0.8,,0.5,,,,,,,,,,,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sour Diesel,
NYC Diesel"
Sour Urkle,01736,,,X,X,,,,,4,3,,,4,,5,,4,,,,,5,5,3,1,,,,,2,,,,,,1.1,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Sour Diesel,
Purple Urkle"
Sour Willie,01737,X,,,X,,,,,5,3,,5,4,,,,,3,,,,4,5,5,,,,,4,,,,4,,0.4,1.6,,0.4,0.2,1.6,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"Sour Diesel,
Willie Nelson"
Sourlope,01738,X,,,X,,,,,5,4,,,3,,3,,,,,,,5,5,,5,4,,,,5,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,3,,,,,,"NYC Diesel,
Cannalope Haze"
South Asian Sativa,01739,X,,,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central LA,01740,,X,,X,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,1,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Southern Lights,01741,X,,,X,,,,,,,1,,1,,4,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NYC Diesel,
Sensi Star"
Space Bomb,01742,,,X,X,,,,,5,4,,3,,,,,,4,,3,,3,3,4,1,2,,,,,,,,,,1.9,0.7,,0.3,1.2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,Space Queen
Space Candy,01743,,,X,X,,,,,5,4,,,3,,5,,,4,,,,5,4,3,,,,,3,,,,4,,0.4,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Space Queen,
Cotton Candy Kush"
